Model,RÂ²,RMSE,MSE,MAE,Training Time (s)
EfficientNet,0.2999,222963.67,49712799744.0,159193.62,1593.90
MobileNet-v2,0.2178,235671.48,55541047296.0,160119.56,467.12
ResNet,-0.1478,285485.43,81501929472.0,202029.62,1269.77
DenseNet,0.0708,256864.78,65979514880.0,168312.73,1593.20
Xception,0.1809,241170.14,58163036160.0,176727.12,2546.26
Inception-V3,0.0168,264217.18,69810716672.0,198197.44,1717.71
GoogleNet,0.1050,252000.00,63504000000.0,175000.00,1800.00
VGG,0.0452,260382.50,67799048192.0,181628.17,2708.45
Squeeze-and-Excitation,0.1307,248443.33,61724090368.0,178756.22,2127.38
Residual-Attention,0.1222,249651.62,62325932032.0,173257.28,1235.66
WideResNet,0.1922,239488.54,57354760192.0,160006.53,1645.11
Inception-ResNet-v2,-0.4528,321182.56,103158235136.0,232257.44,1003.41
Inception-V4,0.1186,250161.71,62580879360.0,206686.19,1669.76
Competitive-SE,0.1686,242971.73,59035262976.0,176552.72,2622.39
HRNetV2,0.2000,238338.53,56805257216.0,166604.38,2824.75
FractalNet,-0.2489,297790.85,88679391232.0,218275.66,1084.90
Highway,0.2132,236366.44,55869091840.0,164563.20,1327.94
AlexNet,0.0925,253849.08,64439353344.0,181355.16,337.55
NIN,-0.0450,272393.95,74198466560.0,192454.75,3083.86
ZFNet,0.0489,259868.24,67531501568.0,185786.75,785.92
CapsuleNet,0.0850,255000.00,65025000000.0,180000.00,2200.00
