scraped_page,title,detail_url,price(USD),building_area(m²),land_area(m²),bedrooms,bathrooms,location,image_count,image_filenames,price_per_sqm,property_type
1,Developers Dream,https://www.property.co.zw/for-sale/houses-bls228184,190000.0,180.0,1352.0,3.0,1.0,Belvedere,1,df03d95d0b_0.webp,124.02088772845951,house
1,Finish It To Your Taste....,https://www.property.co.zw/for-sale/houses-rws224233,180000.0,1000.0,1736.0,6.0,3.0,Harare,1,9255ebae71_0.webp,65.78947368421052,house
1,Ideal for investment.,https://www.property.co.zw/for-sale/houses-cac214954,225000.0,180.0,4000.0,3.0,3.0,Marlborough,1,0aa8829830_0.webp,53.82775119617225,house
1,4 Bedroomed house For Sale In Greendale,https://www.property.co.zw/for-sale/houses-gat227415,330000.0,3711.0,3711.0,4.0,2.0,Greendale,1,8b160495da_0.webp,44.462409054163295,house
1,Peaceful Oasis For Sale,https://www.property.co.zw/for-sale/houses-chas226613,880000.0,433.0,3220.0,4.0,2.0,Harare,1,4ea4ffbb30_0.webp,240.89789214344376,house
1,Waterfalls Zindoga Commercial Property For Sale,https://www.property.co.zw/for-sale/shops-rws226883,300000.0,240.0,500.0,3.0,2.0,Waterfalls,1,35ade3b1af_0.webp,405.4054054054054,commercial
1,Arcturus 7.9 hectare plot for sale,https://www.property.co.zw/for-sale/agricultural-land-farms-rws222499,450000.0,79.0,790000.0,3.0,2.0,Harare,1,7f0c8caec8_0.webp,0.5695632968348735,land
1,Lets go farming,https://www.property.co.zw/for-sale/agricultural-land-farms-rws214494,600000.0,600.0,10417.0,2.0,1.0,Harare,1,43f71e2670_0.webp,,land
1,Investment opportunity,https://www.property.co.zw/for-sale/houses-rws228313,35000.0,180.0,240.0,4.0,2.0,Harare,1,2dddad92e3_0.webp,83.33333333333333,house
1,Dont Miss Out On This Fantastic Opportunity,https://www.property.co.zw/for-sale/houses-rws226112,265000.0,500.0,4600.0,4.0,2.0,Hatfield,1,8c8d84eb11_0.webp,51.96078431372549,house
2,Avondale West $340000,https://www.property.co.zw/for-sale/houses-lcre224929,340000.0,300.0,1200.0,3.0,2.0,Avondale,1,4e8053f948_0.webp,226.66666666666663,house
2,Negotiations makes it yours,https://www.property.co.zw/for-sale/houses-rws228125,100000.0,200.0,450.0,3.0,2.0,Harare,1,2f9804da59_0.webp,153.84615384615384,house
2,Versatile Property with Visibility from Seke Road,https://www.property.co.zw/for-sale/houses-sef227858,160000.0,150.0,2000.0,3.0,2.0,Hatfield,1,e669c47b57_0.webp,74.4186046511628,house
2,Macheke Abattoir For Sale,https://www.property.co.zw/for-sale/shops-rws189264,1000000.0,1000.0,7000.0,3.0,2.0,Harare,1,70b695bad7_0.webp,125.0,commercial
3,Exquisite 7-Bedroom Mansion with Borehole in Borrowdale Brooke,https://www.property.co.zw/for-sale/houses-knp215538,800000.0,500.0,1660.0,7.0,3.0,Borrowdale,1,2d26e68033_0.webp,370.3703703703704,house
3,Carrick Creagh mansion for sale,https://www.property.co.zw/for-sale/houses-thre227300,650000.0,700.0,3600.0,5.0,3.0,Harare,1,68d0f7de4c_0.webp,151.1627906976744,house
3,Superb Opportunity in Falcon Estate,https://www.property.co.zw/for-sale/houses-rws224348,130000.0,450.0,450.0,4.0,2.0,Harare,1,7c7f481336_0.webp,144.44444444444446,house
3,Residential house for sale,https://www.property.co.zw/for-sale/houses-smy216178,850000.0,300.0,4200.0,5.0,3.0,Borrowdale,1,c356fd7b5e_0.webp,188.88888888888889,house
3,Arlington Estate House For Sale,https://www.property.co.zw/for-sale/houses-syr228293,425000.0,2012.0,2012.0,6.0,3.0,Harare,1,3943033b4f_0.webp,105.61630218687873,house
3,One Hectare with Development Permit and Borehole,https://www.property.co.zw/for-sale/residential-land-stands-pgp223801,700000.0,600.0,10163.0,3.0,2.0,Greystone Park,1,42d38134be_0.webp,,land
3,Residential stand for sale,https://www.property.co.zw/for-sale/residential-land-stands-smy213760,120000.0,600.0,2000.0,2.0,1.0,Belvedere,1,f99fc7830f_0.webp,,land
3,Absolute Bargain,https://www.property.co.zw/for-sale/agricultural-land-farms-hmsl223481,60000.0,600.0,80940.0,3.0,2.0,Harare,1,0552256194_0.webp,,land
4,House For Sale,https://www.property.co.zw/for-sale/houses-prv227538,29000.0,500.0,4685.0,5.0,3.0,Harare,1,374d8682d5_0.webp,5.593056894889103,house
4,Southlea Park House,https://www.property.co.zw/for-sale/houses-chre228435,29000.0,120.0,200.0,5.0,3.0,Harare,1,06bbd7e7f1_0.webp,90.625,house
4,Eastlea Along Samora Machel Tranquil Home For Sale,https://www.property.co.zw/for-sale/houses-rws226447,690000.0,800.0,2336.0,4.0,2.0,Eastlea,1,ca10792fc2_0.webp,220.02551020408163,house
4,Superb Opportunity,https://www.property.co.zw/for-sale/houses-rws219575,300000.0,1800.0,1800.0,4.0,2.0,Harare,1,8dd86bd361_0.webp,83.33333333333333,house
4,A premium investment opportunity A complex consists of 17 units.,https://www.property.co.zw/for-sale/flats-apartments-xds225464,110000.0,200.0,500.0,3.0,2.0,Hillside,1,c69fb0f99f_0.webp,,apartment
4,A Gem In The Heart Of Chisipite,https://www.property.co.zw/for-sale/houses-chas228026,800000.0,200.0,4047.0,5.0,3.0,Harare,1,38d5e43a3d_0.webp,188.36825994819876,house
4,Reduced to Go- located along Suffolk Road,https://www.property.co.zw/for-sale/houses-mac225039,220000.0,260.0,793.0,3.0,2.0,Avondale,1,4b0ca61647_0.webp,208.92687559354223,house
4,Finish To Taste Incomplete Property In Kutandara,https://www.property.co.zw/for-sale/houses-pgp224747,105000.0,172.0,470.0,3.0,2.0,Harare,1,51ba06edb4_0.webp,163.55140186915887,house
4,A property in a Prime Location,https://www.property.co.zw/for-sale/houses-pgp225568,210000.0,350.0,2974.0,4.0,2.0,Bulawayo,1,ebf6facdcf_0.webp,,house
4,Your Dream Home Awaits In Mabvazuva,https://www.property.co.zw/for-sale/houses-plzp227759,85000.0,200.0,400.0,4.0,2.0,Unknown,1,2e3162e701_0.webp,141.66666666666666,house
5,Agri Residential Commercial Property For Sale,https://www.property.co.zw/for-sale/agricultural-land-farms-rrt225500,1250000.0,600.0,157828.0,4.0,3.0,Harare,1,d4a62f6d23_0.webp,,land
5,Modern Family Home In Greendale North,https://www.property.co.zw/for-sale/houses-clrp226138,380000.0,350.0,2700.0,4.0,3.0,Greendale,1,d72ee4aeeb_0.webp,,house
5,Shawasha Hills,https://www.property.co.zw/for-sale/land-jspp226530,370000.0,600.0,14000.0,3.0,2.0,Harare,1,cf7b57b760_0.webp,,land
5,"Views, Vibes Value. Burnside",https://www.property.co.zw/for-sale/houses-pgp228568,130000.0,4126.0,4040.0,3.0,2.0,Bulawayo,1,f241ec2448_0.webp,15.91966691158462,house
5,"Prime Commercial Property for Sale  Simon Mazorodze Road Frontage, Harare",https://www.property.co.zw/for-sale/commercial-property-plzp220282,795000.0,400.0,3636.0,3.0,2.0,Harare,1,b8adb58b30_0.webp,196.97720515361743,commercial
5,Residential Stand For Sale in Pomona,https://www.property.co.zw/for-sale/residential-land-stands-gat227158,75000.0,600.0,2000.0,3.0,2.0,Harare,1,7f0866c38c_0.webp,,land
6,A Delightful and Comfortable Family Home On Show,https://www.property.co.zw/for-sale/houses-clrp228246,650000.0,300.0,4403.0,3.0,2.0,Harare,1,706d23f5ef_0.webp,138.20965341271528,house
6,Mufakose Commercial Property,https://www.property.co.zw/for-sale/shops-pgp197350,155000.0,389.0,389.0,3.0,2.0,Mufakose,1,d0f027439d_0.webp,199.2287917737789,commercial
6,"Expansive 17,000m² Plot Land in Glen Forest, Harare North",https://www.property.co.zw/for-sale/agricultural-land-farms-jspp215189,170000.0,600.0,17000.0,3.0,2.0,Harare,1,616af0d2ab_0.webp,,land
6,Great investment opportunity,https://www.property.co.zw/for-sale/residential-land-stands-pnt213146,480000.0,600.0,10000.0,6.0,3.0,Harare,1,0172c96b38_0.webp,,land
6,"Spacious 4-Bedroom Family Home in Serene Belvedere, Harare",https://www.property.co.zw/for-sale/houses-jspp225991,310000.0,310.0,1910.0,4.0,2.0,Belvedere,1,fd7e4a19eb_0.webp,139.63963963963965,house
6,Neat and cozy,https://www.property.co.zw/for-sale/houses-rws227218,55000.0,180.0,200.0,3.0,2.0,Harare,1,ceac0d1e64_0.webp,144.73684210526315,house
6,"1300 m² Land for Sale in Norton, Mashonaland West",https://www.property.co.zw/for-sale/land-gat223366,25000.0,600.0,1300.0,3.0,2.0,Unknown,1,aa3f2cef4b_0.webp,,land
6,Great Investment Opportunity,https://www.property.co.zw/for-sale/houses-rws226110,250000.0,600.0,2000.0,2.0,1.0,Harare,1,f3703307cd_0.webp,96.15384615384616,house
7,Exceptional Home On The Hill With Stunning Views,https://www.property.co.zw/for-sale/houses-prl221871,635000.0,250.0,5133.0,2.0,2.0,Harare,1,47e4f25fef_0.webp,117.96396061675644,house
7,2 Bedroom Flat in Upper Avenues,https://www.property.co.zw/for-sale/flats-apartments-mtx227685,120000.0,250.0,500.0,2.0,1.0,Harare,1,8d83eedfae_0.webp,,apartment
7,Avondale Townhouse In Good Complex with Mature Garden,https://www.property.co.zw/for-sale/townhouses-prl219565,245000.0,600.0,7771.0,3.0,2.0,Avondale,1,df14adba76_0.webp,29.267709951021384,house
7,Borrowdale Pomona 3 Beds Clusters for Sale,https://www.property.co.zw/for-sale/garden-flats-rws225182,230000.0,125.0,275.0,3.0,2.0,Borrowdale,1,d13b3a9722_0.webp,575.0,apartment
7,Chitungwiza,https://www.property.co.zw/for-sale/houses-lcre222171,20000.0,200.0,200.0,4.0,2.0,Unknown,1,e19da6397b_0.webp,50.0,house
7,Finish To Your Own Taste The 4 Bedroomed House In Haydon Park,https://www.property.co.zw/for-sale/townhouses-smy227127,140000.0,850.0,1291.0,4.0,2.0,Harare,1,3c92f4f8e3_0.webp,65.39000467071462,house
7,Stylish 2 Bedroom Garden Apartment in Prime Kensington,https://www.property.co.zw/for-sale/garden-flats-sef226082,170000.0,150.0,500.0,2.0,1.0,Harare,1,127deea2d6_0.webp,261.53846153846155,apartment
7,Spacious 3-Bedroom Townhouse Complex with Borehole in Greendale,https://www.property.co.zw/for-sale/townhouses-sef205422,221000.0,178.0,8000.0,3.0,2.0,Greendale,1,cd2cb532e2_0.webp,27.02372218146246,house
7,Serene 4-Bedroom Garden Flat in Chisipite with Borehole,https://www.property.co.zw/for-sale/garden-flats-bls220355,425000.0,300.0,500.0,4.0,2.0,Harare,1,921d5ce2ef_0.webp,531.25,apartment
7,Prime Residential Stand for Sale,https://www.property.co.zw/for-sale/residential-land-stands-pgp226810,280000.0,600.0,4095.0,3.0,2.0,Harare,1,c8c6143ba0_0.webp,,land
7,Development or Commercial Opportunity,https://www.property.co.zw/for-sale/offices-pgp185668,580000.0,1000.0,8244.0,3.0,2.0,Marlborough,1,b9fbd41786_0.webp,62.74340112505409,commercial
7,"1,6 Hectare Agro-Residential Plot for Sale in Glen Forest",https://www.property.co.zw/for-sale/land-sef227395,200000.0,16.0,16000.0,3.0,2.0,Harare,1,458675a6a4_0.webp,12.487512487512488,land
8,"Spacious 4-Bedroom Home with a Pool in Glen Lorne, Harare North",https://www.property.co.zw/for-sale/houses-sef224118,850000.0,620.0,11000.0,4.0,2.0,Harare,1,56f4749b52_0.webp,73.14974182444062,house
8,Riddle Ridge house for sale,https://www.property.co.zw/for-sale/houses-rws225335,70000.0,250.0,400.0,4.0,2.0,Harare,1,b201cba3dd_0.webp,107.6923076923077,house
8,Houses for sale,https://www.property.co.zw/for-sale/houses-csr164326,75000.0,280.0,670.0,5.0,2.0,Harare,1,443251e729_0.webp,78.94736842105263,house
8,All You Would Ever Want and More,https://www.property.co.zw/for-sale/houses-prl212609,895000.0,644.0,4058.0,3.0,3.0,Mount Pleasant,1,14be36c5da_0.webp,190.34453424074863,house
8,Make your dreams come true,https://www.property.co.zw/for-sale/houses-rws210803,210000.0,500.0,4002.0,5.0,3.0,Waterfalls,1,d727300d55_0.webp,46.645935139937805,house
8,Complete Unit shops for sale,https://www.property.co.zw/for-sale/shops-brre206329,74400.0,500.0,4000.0,3.0,2.0,Harare,1,2550f87b39_0.webp,,commercial
8,Jetway Industrial Park is an exciting New Mixed Use Development.,https://www.property.co.zw/for-sale/commercial-land-ccp206131,170000.0,600.0,3000.0,3.0,2.0,Harare,1,469240ab14_0.webp,,land
8,Smart Move,https://www.property.co.zw/for-sale/commercial-property-rws226561,1000000.0,500.0,7047.0,3.0,2.0,Harare,1,78cc978db1_0.webp,,commercial
8,Lifetime Opportunity,https://www.property.co.zw/for-sale/houses-rws204704,375000.0,500.0,5000.0,4.0,2.0,Greendale,1,d65b64e723_0.webp,68.18181818181819,house
9,"Charming 4-Bedroom House for Sale in Kuwadzana, Harare",https://www.property.co.zw/for-sale/houses-sef205049,50000.0,160.0,312.0,4.0,1.0,Kuwadzana,1,5f78ea174d_0.webp,105.9322033898305,house
9,Greyston Park Stand For Sale,https://www.property.co.zw/for-sale/residential-land-stands-tagp209638,156000.0,600.0,3900.0,3.0,2.0,Greystone Park,1,86fd04aabc_0.webp,,land
9,Beautiful Complex,https://www.property.co.zw/for-sale/garden-flats-knp225145,320000.0,621.0,500.0,5.0,3.0,Harare,1,b1002fe80d_0.webp,,apartment
9,Well treed and serene land,https://www.property.co.zw/for-sale/residential-land-stands-pgp223986,1100000.0,600.0,140000.0,3.0,2.0,Marlborough,1,a40e5f4978_0.webp,,land
9,Prime 450 m² Stands in Arcadia Your Future Awaits,https://www.property.co.zw/for-sale/residential-land-stands-t20227708,35000.0,600.0,450.0,3.0,2.0,Harare,1,02217b3cca_0.webp,,land
9,Stylishly-Polished home,https://www.property.co.zw/for-sale/townhouses-rws225932,295000.0,400.0,500.0,3.0,2.0,Greendale,1,b98143001e_0.webp,327.77777777777777,house
9,Prime 2500 m² Stand for Sale in Exclusive Borrowdale,https://www.property.co.zw/for-sale/residential-land-stands-t20227724,125000.0,600.0,2500.0,3.0,2.0,Borrowdale,1,f122c7adb8_0.webp,,land
9,"9500m² Residential Land with a 4 bed house For Sale in Hogerty Hill, Borrowdale",https://www.property.co.zw/for-sale/residential-land-stands-gat213258,550000.0,9500.0,9500.0,4.0,2.0,Borrowdale,1,60dc95d941_0.webp,28.94736842105263,house
9,Newly Built Shop,https://www.property.co.zw/for-sale/shops-rws227739,19000.0,150.0,1989.0,3.0,2.0,Harare,1,6e2c57fef5_0.webp,,commercial
10,Luxury Cluster Unit,https://www.property.co.zw/for-sale/townhouses-pgp224946,230000.0,180.0,300.0,3.0,2.0,Borrowdale,1,568b1b93d8_0.webp,479.1666666666667,house
10,Ready To Move-In,https://www.property.co.zw/for-sale/garden-flats-hmsl228242,280000.0,230.0,500.0,3.0,2.0,Avondale,1,f1bb84848c_0.webp,383.5616438356165,apartment
10,Greendale North House for Sale Facing Eastern Road Harare Drive,https://www.property.co.zw/for-sale/houses-pgp224662,350000.0,250.0,4047.0,5.0,3.0,Greendale,1,ff894e606b_0.webp,81.45217593670003,house
10,"3 Bedroom House for Sale in Kumalo, Bulawayo East",https://www.property.co.zw/for-sale/houses-gat205495,220000.0,255.0,2344.0,3.0,2.0,Bulawayo,1,f633878d5b_0.webp,84.64794151596767,house
10,Gweru Nehosho 4-bedroom house for sale,https://www.property.co.zw/for-sale/houses-bls220863,36000.0,150.0,220.0,4.0,2.0,Unknown,1,a676ed25d0_0.webp,97.29729729729728,house
10,3 Bedroomed House for Sale in Westgate,https://www.property.co.zw/for-sale/houses-sef226489,210000.0,450.0,820.0,3.0,2.0,Harare,1,e17d7b8189_0.webp,165.35433070866142,house
10,"4-Bedroom Home with Extras  Great Potential, Secure Title.",https://www.property.co.zw/for-sale/houses-leg224427,250000.0,300.0,2100.0,4.0,2.0,Mount Pleasant,1,bec5ae64b3_0.webp,104.16666666666669,house
10,A House In a Prime Location In Chinhoyi,https://www.property.co.zw/for-sale/houses-sef175880,115000.0,250.0,2800.0,3.0,2.0,Unknown,1,d092967990_0.webp,37.704918032786885,house
10,REDUCED Double-Storey Home in a Prime Location within Borrowdale Brooke Golf Estate,https://www.property.co.zw/for-sale/houses-knp225105,1300000.0,500.0,1916.0,4.0,2.0,Borrowdale,1,7acc8f6199_0.webp,538.0794701986755,house
10,Haydon park Close to the New Parliament,https://www.property.co.zw/for-sale/houses-glre228710,150000.0,900.0,1291.0,4.0,2.0,Harare,1,df11d0c995_0.webp,68.46188954815153,house
10,Commercial Serviced Stands For Sale In Sunway City,https://www.property.co.zw/for-sale/commercial-land-gat203661,65000.0,600.0,10200.0,3.0,2.0,Harare,1,22e0c5f097_0.webp,,land
10,Scenic Escape On Gletwyn Dam,https://www.property.co.zw/for-sale/houses-pgp217118,990000.0,1000.0,8094.0,4.0,2.0,Harare,1,4375946591_0.webp,108.86298658456126,house
10,morden contemporry,https://www.property.co.zw/for-sale/garden-flats-mac189578,260000.0,150.0,500.0,3.0,2.0,Harare,1,43b45b6e83_0.webp,400.0,apartment
11,"Industrial Property for Sale Factory, Warehouse, Offices and more",https://www.property.co.zw/for-sale/commercial-property-pgp215934,850000.0,3000.0,10417.0,4.0,2.0,Harare,1,7f37ecf05d_0.webp,63.35246329283744,house
11,Live in Grandeur in the Folyjon Estate Reduced for a Quick Sale,https://www.property.co.zw/for-sale/houses-sef165278,640000.0,460.0,4300.0,6.0,3.0,Harare,1,7d753d3ab9_0.webp,134.45378151260505,house
11,House for sale in Mount Pleasant Heights,https://www.property.co.zw/for-sale/houses-glre220865,320000.0,600.0,1800.0,3.0,2.0,Mount Pleasant,1,bdf33d8744_0.webp,133.33333333333334,house
11,Brookview - $350k,https://www.property.co.zw/for-sale/houses-mac205615,350000.0,620.0,4000.0,7.0,3.0,Harare,1,a93810af0a_0.webp,75.75757575757575,house
11,Stand For Sale In Scenic Charlotte Brooke,https://www.property.co.zw/for-sale/residential-land-stands-chas226061,18000.0,600.0,1148.0,3.0,2.0,Harare,1,bf387ac19e_0.webp,,land
11,Glen Lorne stands for sale,https://www.property.co.zw/for-sale/residential-land-stands-rpt200790,40000.0,600.0,500.0,3.0,2.0,Harare,1,407deb2832_0.webp,,land
11,Neat as a pin,https://www.property.co.zw/for-sale/houses-rws223309,300000.0,600.0,4000.0,7.0,3.0,Bulawayo,1,92b69868f4_0.webp,65.21739130434783,house
11,Historic Hotel Centrally Located,https://www.property.co.zw/for-sale/commercial-property-pgp181594,1199000.0,1388.0,1388.0,3.0,2.0,Bulawayo,1,d76949d04a_0.webp,431.9164265129683,commercial
12,"IndustrialCommercial Stand for Sale  Sandton, Harare West",https://www.property.co.zw/for-sale/commercial-land-mtx226807,210000.0,800.0,4243.0,5.0,2.0,Harare,1,bcd89f3e02_0.webp,41.64187983343248,land
12,Prime Location - Grand Home With Two Cottages,https://www.property.co.zw/for-sale/houses-clrp225397,560000.0,800.0,4647.0,5.0,2.0,Harare,1,476ff6735f_0.webp,102.80888562511474,house
12,Newly Built Cluster In Exclusive Gated Community,https://www.property.co.zw/for-sale/townhouses-pgp227211,185000.0,100.0,365.0,3.0,2.0,Harare,1,5b06b0b964_0.webp,397.8494623655914,house
12,Commercial Property for Sale in Greendale,https://www.property.co.zw/for-sale/offices-gat192688,330000.0,721.0,4280.0,3.0,2.0,Greendale,1,ce708885c5_0.webp,65.9868026394721,commercial
12,Stand for sale in Crowhill,https://www.property.co.zw/for-sale/residential-land-stands-jspp224656,15000.0,600.0,1000.0,3.0,2.0,Harare,1,5b52880463_0.webp,,land
12,Pomona City Stands for Sale,https://www.property.co.zw/for-sale/residential-land-stands-rws228483,175000.0,600.0,1965.0,3.0,2.0,Harare,1,0cce998e10_0.webp,,land
12,Stunning 4-Bedroom Townhouse Complex with Borehole in Marlborough,https://www.property.co.zw/for-sale/townhouses-sef220411,200000.0,197.0,350.0,4.0,2.0,Marlborough,1,2a7eb2d91c_0.webp,365.6307129798903,house
12,Rydale Ridge Property for Sale,https://www.property.co.zw/for-sale/houses-gat228276,70000.0,437.0,437.0,4.0,2.0,Harare,1,432ddb1c98_0.webp,80.09153318077803,house
12,Solid Spacious House,https://www.property.co.zw/for-sale/houses-chas228324,290000.0,3844.0,3844.0,4.0,2.0,Harare,1,3e56f483f2_0.webp,37.72112382934444,house
